PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,1,3,Passenger 1,female,31.55890601157356,0,0,TKT00001,10.9338,,Q
2,0,2,Passenger 2,male,24.559135465064546,1,0,TKT00002,26.5035,,S
3,1,3,Passenger 3,male,,3,0,TKT00003,7.9617,,S
4,0,3,Passenger 4,female,37.09216415866355,1,0,TKT00004,17.05,,S
5,1,1,Passenger 5,female,11.634755679119042,0,1,TKT00005,36.4789,,S
6,0,3,Passenger 6,male,39.39719216259178,1,1,TKT00006,20.9815,,Q
7,0,3,Passenger 7,male,19.154874012331117,0,0,TKT00007,9.9816,,Q
8,0,3,Passenger 8,male,21.92205080071453,0,0,TKT00008,6.3834,,S
9,0,1,Passenger 9,male,,1,0,TKT00009,143.483,,S
10,0,3,Passenger 10,male,23.115536123778114,0,0,TKT00010,11.6418,,S
11,0,2,Passenger 11,male,42.49998142852137,1,0,TKT00011,58.9867,,S
12,0,3,Passenger 12,male,19.156859138812464,0,0,TKT00012,20.7909,,S
13,0,3,Passenger 13,male,21.334748263720915,2,0,TKT00013,8.3791,,S
14,1,3,Passenger 14,female,20.810807490326475,0,0,TKT00014,11.5497,,S
15,1,2,Passenger 15,female,22.081057523029457,0,1,TKT00015,26.3994,,S
16,0,1,Passenger 16,male,45.388681777669376,1,0,TKT00016,139.1193,,S
17,0,3,Passenger 17,male,38.80314811054424,0,0,TKT00017,14.6112,,S
18,0,1,Passenger 18,male,53.939215356168994,1,0,TKT00018,75.7794,,S
19,0,3,Passenger 19,male,61.74701885458956,0,0,TKT00019,10.9678,,S
20,1,3,Passenger 20,female,,0,0,TKT00020,11.7301,,S
21,0,3,Passenger 21,female,30.985867782582044,1,1,TKT00021,21.5844,,S
22,1,2,Passenger 22,female,13.533195566991939,0,0,TKT00022,25.0417,,S
23,1,3,Passenger 23,female,19.11351701152426,0,0,TKT00023,10.0458,,S
24,1,3,Passenger 24,female,,1,3,TKT00024,9.308,,C
25,1,3,Passenger 25,female,,0,0,TKT00025,9.3531,,Q
26,0,1,Passenger 26,male,15.27357817942221,0,0,TKT00026,37.2463,,S
27,1,3,Passenger 27,male,27.980018700716432,1,1,TKT00027,8.5612,,S
28,1,1,Passenger 28,male,12.9659421425903,0,0,TKT00028,137.3846,,S
29,0,1,Passenger 29,male,41.78977742792686,0,0,TKT00029,63.7855,,S
30,0,3,Passenger 30,male,17.1514504761548,0,0,TKT00030,16.4758,,S
31,1,3,Passenger 31,female,69.33396558134949,0,0,TKT00031,3.9333,,S
32,0,3,Passenger 32,male,,0,0,TKT00032,15.497,,S
33,1,2,Passenger 33,male,31.00824698683873,0,0,TKT00033,23.2491,,S
34,0,2,Passenger 34,male,11.865223417475509,0,1,TKT00034,20.1303,,S
35,0,3,Passenger 35,male,53.88528461378695,1,1,TKT00035,13.0181,,S
36,0,1,Passenger 36,male,45.67300953124082,0,1,TKT00036,56.0012,,S
37,1,1,Passenger 37,female,34.156822190305576,1,1,TKT00037,26.9168,,S
38,0,3,Passenger 38,male,11.144764317086082,1,0,TKT00038,18.1727,,S
39,1,1,Passenger 39,female,32.949336288144686,1,0,TKT00039,78.0893,,S
40,0,3,Passenger 40,male,14.299965355758431,0,0,TKT00040,10.419,,S
41,0,2,Passenger 41,male,50.47297368862705,0,0,TKT00041,16.1851,,S
42,0,3,Passenger 42,male,41.32872624594442,0,2,TKT00042,6.1933,,S
43,1,3,Passenger 43,female,31.336146538828306,0,0,TKT00043,13.272,,C
44,1,2,Passenger 44,female,0.5,1,0,TKT00044,51.6724,,S
45,0,3,Passenger 45,male,,0,2,TKT00045,13.1488,,S
46,0,3,Passenger 46,female,39.62865584239822,3,1,TKT00046,6.4409,,S
47,0,2,Passenger 47,male,46.98037168412418,1,2,TKT00047,27.6653,,C
48,1,2,Passenger 48,female,45.52837736088984,1,0,TKT00048,24.407,,C
49,0,3,Passenger 49,male,7.7118179686196235,0,0,TKT00049,17.7029,,C
50,1,1,Passenger 50,male,,0,0,TKT00050,91.9758,,S
51,1,1,Passenger 51,female,44.217213030761016,0,1,TKT00051,18.263,,S
52,0,1,Passenger 52,male,,1,1,TKT00052,89.4656,,S
53,0,3,Passenger 53,male,29.88933678477469,1,0,TKT00053,7.6396,,S
54,0,3,Passenger 54,male,33.833793576318385,1,0,TKT00054,6.3289,,S
55,0,3,Passenger 55,male,25.78929581214571,2,0,TKT00055,11.0242,,S
56,1,3,Passenger 56,female,,1,0,TKT00056,14.4377,,S
57,1,3,Passenger 57,female,25.4402264589678,1,0,TKT00057,5.7349,,C
58,1,3,Passenger 58,female,25.417723976429663,0,0,TKT00058,16.477,,S
59,0,1,Passenger 59,male,27.926986336331442,0,0,TKT00059,98.6914,,S
